"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2523","Should verify the Solutions mega menu displays the primary solution cards and navigation links","Navigation, TC-02, TC-03, TC-04","2026-07-20","passed","2026-07-20","","","",""
"","8158","Should verify the AI Assistant opens, responds to a user message, and can be closed","Dynamic widget testing, TC-19, TC-20","2026-07-20","passed","2026-07-20","","","",""
"","2226","Shoud verify the ""Download Pricing"" form displays validation errors for empty required fields.","Download pricing form validation, TC-07, TC-08","2026-07-20","passed","2026-07-20","","","",""
"","3327","Should verify the mobile navigation menu expands and collapses correctly","Mobile UI, TC-13","2026-07-20","passed","2026-07-20","","","",""
"","4826","Should verify Login form validation using an invalid email format","Login form validations, TC-05, TC-06","2026-07-20","passed","2026-07-20","","","",""
"","5041","Should verify navigation to the Products Inference page from the Products menu","Navigation, TC-01","2026-07-20","passed","2026-07-20","","","",""
"","6356","Should verify the Integrations page search filters results correctly","Search UI, TC-12","2026-07-20","passed","2026-07-20","","","",""
"","5495","Should verify switching between Business Registration and Freemium Registration updates the displayed form correctly","Registration form UI, TC-10","2026-07-20","passed","2026-07-20","","","",""
"","5586","Should display an email validation error for an invalid email address","Contact us form email validation, TC-09","2026-07-20","passed","2026-07-20","","","",""
"","2294","Should verify a non-existent URL displays the custom 404 page","Error pages management, TC-18","2026-07-20","passed","2026-07-20","","","",""
"","7440","Should verify breadcrumb navigation returns to the parent page","Navigation, TC-02, TC-03, TC-04","2026-07-20","passed","2026-07-20","","","",""
"","3654","Should verify the Resources center page displays article cards with title and description","Resource center page content, TC-15","2026-07-20","passed","2026-07-20","","","",""
"","2936","Should verify the cookie banner can be accepted and disappears","Cookie banner UI, TC-11","2026-07-20","passed","2026-07-20","","","",""
"","2983","Should verify the AI Assistant remains open during header navigation","Dynamic widget testing, TC-19, TC-20","2026-07-20","passed","2026-07-20","","","",""
"","7923","Shoud verify the ""Download Pricing"" form accepts valid input and submits successfully","Download pricing form validation, TC-07, TC-08","2026-07-20","passed","2026-07-20","","","",""
"","6580","Should verify comparison sections on the Twilio comparison page expand and collapse correctly","Twilio compare page content, TC-17","2026-07-20","passed","2026-07-20","","","",""
"","1647","Should verify Login form validation with empty required fields","Login form validations, TC-05, TC-06","2026-07-20","passed","2026-07-20","","","",""
"","3888","Should verify the Telnyx logo redirects to the homepage from another page","Navigation, TC-02, TC-03, TC-04","2026-07-20","passed","2026-07-20","","","",""
"","4728","Should verify Messaging Pricing page updates pricing information when different tabs are selected","Pricing page tabs, TC-14","2026-07-20","passed","2026-07-20","","","",""
"","5740","Should verify the footer displays expected sections and navigates to selected pages","Footer content, TC-16","2026-07-20","passed","2026-07-20","","","",""
